EBT notes v2
10;2002;X50402000009;;2010-03-13 00:00:00;Madrid;Spain;28803;R022A1;99999999999;2;1;40.4753;-3.3736
50;2002;V34607000002;;2010-10-07 00:00:00;Madrid;Spain;28801;M032A1;99999999998;1;0;40.4787;-3.3651
20;2002;V26087000008;;2010-10-07 00:00:00;Belgrade;Serbia and Montenegro;11000;M023A1;99999999997;1;0;40.4787;-3.3651
20;2002;P17972000002;;2010-10-07 00:00:00;Visoko;Bosnia-Herzegovina;71300;G008A1;99999999996;1;0;40.4787;-3.3651
20;2002;L25382000003;;2010-10-07 00:00:00;Madrid;Spain;28801;E003A1;99999999995;2;0;40.4787;-3.3651
20;2002;V24798000001;;2010-10-22 00:00:00;Madrid;Spain;28803;M022A1;99999999994;2;0;40.4787;-3.3651
20;2002;S22293000007;;2010-11-26 00:00:00;Madrid;Spain;28803;J020A1;99999999993;2;0;40.4787;-3.3651
10;2002;X50420000009;;2011-03-13 00:00:00;Madrid;Spain;28803;R022A1;99999999992;2;1;40.4787;-3.3651
5;2002;V17106000007;;2011-03-13 00:00:00;Madrid;Spain;28805;M013A1;99999999991;2;0;40.4787;-3.3651
5;2002;P08242000003;;2011-03-13 00:00:00;Lipjan;Kosovo;14000;E002A1;99999999990;1;0;40.4787;-3.3651
20;2002;T36861000009;;2011-10-11 00:00:00;Madrid;Spain;28802;K003A1;99999999989;2;0;40.4787;-3.3651
20;2002;L25895000003;;2011-11-13 00:00:00;Madrid;Spain;28801;E003A1;99999999988;2;0;40.4787;-3.3651
20;2002;S21542000002;;2012-02-03 00:00:00;Madrid;Spain;28802;J019A1;99999999987;2;0;40.4787;-3.3651
