EBT notes v2
6;2002;N00006035007;;2010-01-01 00:00:00;Madrid;Spain;28801;F001A1;99999999999;1;0;44.5323;12.3176
5;2005;X00018700004;;2010-01-01 00:00:00;Madrid;Spain;28801;R001A1;99999999998;1;0;44.5323;12.3176
5;2002;X22222222222;;2010-01-01 00:00:00;Madrid;Spain;28801;R001A1;99999999997;1;0;44.5323;12.3176
5;2002;_00035080005;;2010-01-01 00:00:00;Madrid;Spain;28801;F001A1;99999999996;1;0;44.5323;12.3176
5;2002;P00003150001;;2010-01-01 00:00:00;Madrid;Spain;28801;E001A9;99999999995;1;0;44.5323;12.3176
20;2002;P00003798001;;2010-01-01 00:00:00;Madrid;Spain;28801;G001J1;99999999994;1;0;44.5323;12.3176
5;2002;X00004302002;;2010-01-01 00:00:00;Madrid;Spain;28801;P100A1;99999999993;1;0;44.5323;12.3176
10;2002;X00003050003;;2010-01-01 00:00:00;Madrid;Spain;28801;P001A1;_9999999992;1;0;44.5323;12.3176
10;2002;P00009130006;;2010-01-01 00:00:00;Madrid;Spain;28801;G001A1;99999999991;_;0;44.5323;12.3176
20;2002;P00002221003;;2010-01-01 00:00:00;Madrid;Spain;28801;G001A1;99999999990;1;2;44.5323;12.3176
10;2002;X00003446003;;2010-01-01 00:00:00;Madrid;Spain;28801;R001A1;99999999989;1;0;4425323;12.3176
20;2002;U00008320001;;2010-01-01 00:00:00;Madrid;Spain;28801;L001A1;99999999988;1;0;44.5323;1223176
7;2009;U00001960001;;2010-01-01 00:00:00;Madrid;Spain;28801;L001A9;_9999999987;_;2;445323;123176
